carehomesbeds,year_location_end,forced_closure,ownership,individual_partnership,company,age,dementia,nurse,mental_health,detained,disabled,closed_complete,inadequate,requiresimprovement,good,outstanding,missing_quality
35,2011,0,Local Authority,0,0,9.9666662,1,0,0,0,1,1,,,,,1
4,2011,0,For-Profit,0,1,.23333333,1,0,1,0,1,0,,,,,1
40,2011,0,For-Profit,0,1,11.2,1,1,0,0,0,0,,,,,1
68,2011,0,For-Profit,0,1,8.3999996,1,1,1,0,0,0,,,,,1
1,2011,0,Local Authority,0,0,3.1333334,0,1,0,0,0,1,,,,,1
5,2011,0,Third sector,0,0,0,0,0,0,0,0,1,,,,,1
5,2011,0,For-Profit,0,1,2.0999999,0,0,0,0,0,1,,,,,1
3,2011,0,Third sector,0,0,5.6333332,0,1,1,0,0,1,,,,,1
31,2011,0,For-Profit,1,0,8.833333,1,0,1,0,0,0,,,,,1
14,2011,0,For-Profit,0,1,3.4333334,1,0,0,0,0,0,,,,,1
44,2011,0,For-Profit,0,1,12.166667,0,1,0,0,0,0,,,,,1
0,2011,0,Local Authority,0,0,8.8666668,0,0,1,0,0,1,,,,,1
76,2011,0,For-Profit,0,1,10.566667,1,1,0,0,0,0,,,,,1
11,2011,0,For-Profit,0,1,10.966666,0,0,0,0,0,1,,,,,1
44,2011,0,Third sector,0,0,10.666667,1,0,0,0,0,1,,,,,1
2,2011,0,For-Profit,0,1,5.9000001,0,0,0,0,0,1,,,,,1
35,2011,0,For-Profit,0,1,10.433333,1,0,0,0,0,0,,,,,1
46,2011,0,For-Profit,0,1,9.8666668,0,1,0,0,0,0,,,,,1
5,2011,0,Third sector,0,0,3.2,0,0,0,0,1,0,,,,,1
40,2011,0,For-Profit,0,1,10.033334,1,1,0,0,1,0,,,,,1
64,2011,0,For-Profit,0,1,11.2,0,1,0,0,0,0,,,,,1
90,2011,0,For-Profit,0,1,10.733334,1,1,0,0,1,0,,,,,1
39,2011,0,For-Profit,0,1,12.166667,0,1,0,0,0,0,,,,,1
3,2011,0,Third sector,0,0,9.1999998,0,0,1,0,0,1,,,,,1
0,2011,0,Local Authority,0,0,6.5333333,1,0,1,0,1,1,,,,,1
46,2011,0,For-Profit,0,1,8.3999996,1,0,0,0,0,0,,,,,1
36,2011,0,For-Profit,0,1,10.033334,1,1,0,0,1,0,,,,,1
0,2011,0,Local Authority,0,0,4.0333333,0,0,0,0,0,1,,,,,1
13,2011,0,For-Profit,0,1,13.1,0,0,1,0,1,1,,,,,1
